,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Bambous Virieux,-20.3428,57.7575,294.29,100,75,6.3,MU,1622566604
270,Lafiagi,8.8667,5.4167,305.16,55,90,2.1,NG,1622566604
271,Ballarat,-37.5662,143.8496,279.81,76,99,2.42,AU,1622566465
272,Vila do Maio,15.1333,-23.2167,300.59,85,71,5.7,CV,1622566604
273,Seoul,37.5683,126.9778,291.86,94,20,0.52,KR,1622566605
274,Puerto Colombia,10.9878,-74.9547,302.2,69,100,3.02,CO,1622566605
275,Dalnerechensk,45.9339,133.7225,285.49,87,96,5.99,RU,1622566605
276,Chapais,49.7834,-74.8492,290.03,56,72,4.83,CA,1622566606
277,Hong Kong,22.2855,114.1577,299.44,91,99,0.45,HK,1622566606
278,Ambovombe,-25.1667,46.0833,293.3,80,100,8.87,MG,1622566606
279,Bengkulu,-3.8004,102.2655,297.91,89,86,1.58,ID,1622566607
280,Pacific Grove,36.6177,-121.9166,296.93,92,90,0.89,US,1622566607
281,Zigong,29.3416,104.7769,295.9,80,99,1.19,CN,1622566607
282,Half Moon Bay,37.4636,-122.4286,301.42,73,20,2.94,US,1622566607
283,Vardø,70.3705,31.1107,284.26,76,75,8.23,NO,1622566608
284,Linxia Chengguanzhen,35.6003,103.2064,289.95,43,94,0.34,CN,1622566608
285,Staryy Nadym,65.6118,72.6842,282.37,70,80,9.81,RU,1622566608
286,Dulce Nombre,14.85,-88.8333,299.14,69,75,0.0,HN,1622566609
287,Lac du Bonnet,50.2536,-96.0612,298.01,37,100,5.08,CA,1622566477
288,Rosarito,32.3333,-117.0333,295.04,73,51,3.03,MX,1622566609
289,Pimentel,-6.8367,-79.9342,293.71,81,90,0.89,PE,1622566609
290,Pierre,44.3683,-100.351,300.37,56,87,2.68,US,1622566547
291,Zhaodong,46.0833,125.9833,284.16,48,16,2.83,CN,1622566610
292,Cabo San Lucas,22.8909,-109.9124,307.32,53,53,2.58,MX,1622566610
293,Nālūt,30.3333,10.85,312.82,9,98,2.96,LY,1622566610
294,Nioro,13.35,-15.75,310.98,24,40,4.53,GM,1622566610
295,Tiznit Province,29.5833,-9.5,297.26,41,4,3.61,MA,1622566611
296,Kosa,59.9445,54.9977,282.4,63,28,2.42,RU,1622566611
297,East London,-33.0153,27.9116,288.67,82,20,1.03,ZA,1622566611
298,Harper,4.375,-7.7169,300.59,78,100,3.69,LR,1622566612
299,Valparaíso,-33.0393,-71.6273,295.28,66,0,2.06,CL,1622566612
300,Vostok,46.4856,135.8833,282.64,97,100,1.14,RU,1622566612
301,Codrington,-38.2667,141.9667,284.97,56,100,2.93,AU,1622566612
302,Sovetskiy,61.3614,63.5842,283.14,64,80,4.68,RU,1622566613
303,Āsosa,10.0667,34.5333,292.07,73,97,0.63,ET,1622566613
304,Cidreira,-30.1811,-50.2056,292.42,48,9,2.75,BR,1622566613
305,Birjand,32.8663,59.2211,304.41,8,20,5.14,IR,1622566614
306,Mukhen,48.1,136.1,285.6,93,100,2.05,RU,1622566614
307,Puerto del Rosario,28.5004,-13.8627,296.97,64,20,6.69,ES,1622566614
308,Prince Rupert,54.3161,-130.3201,286.2,97,90,0.0,CA,1622566615
309,Kyra,49.5776,111.9753,276.22,80,94,1.57,RU,1622566615
310,Jalu,29.0331,21.5482,305.31,19,0,4.66,LY,1622566615
311,Mareeba,-17.0,145.4333,291.55,95,87,1.01,AU,1622566615
312,Nueva Helvecia,-34.3,-57.2333,291.81,63,87,7.02,UY,1622566616
313,Landau,49.2075,8.1133,297.96,51,0,4.08,DE,1622566616
314,Kasongo-Lunda,-6.4667,16.8167,298.7,40,88,0.98,CD,1622566616
315,Zhezkazgan,47.8043,67.7144,296.48,53,0,3.52,KZ,1622566617
316,Padang,-0.9492,100.3543,299.07,85,72,1.49,ID,1622566335
317,Balotra,25.8333,72.2333,309.1,30,0,7.97,IN,1622566617
318,Te Anau,-45.4167,167.7167,280.19,90,100,1.93,NZ,1622566617
319,Ketchikan,55.3422,-131.6461,284.14,99,100,1.21,US,1622566618
320,Saldanha,-33.0117,17.9442,288.18,84,0,4.93,ZA,1622566618
321,Marondera,-18.1853,31.5519,286.7,63,27,2.59,ZW,1622566618
322,San Patricio,28.017,-97.5169,300.97,62,95,5.27,US,1622566619
323,Kendari,-3.945,122.4989,297.07,93,100,0.88,ID,1622566619
324,Huangmei,30.1924,116.025,297.49,88,50,0.47,CN,1622566619
325,Ugoofaaru,5.6667,73.0,301.6,70,93,7.82,MV,1622566619
326,Paita,-5.0892,-81.1144,296.46,69,92,5.68,PE,1622566620
327,Baker City,44.7749,-117.8344,295.44,57,65,1.47,US,1622566486
328,Kurisove,46.9695,30.9591,284.4,85,100,8.09,UA,1622566620
329,Bongor,10.2806,15.3722,306.97,33,100,2.65,TD,1622566620
330,Maragogi,-9.0122,-35.2225,300.51,65,38,3.9,BR,1622566621
331,Buritis,-15.6178,-46.4233,305.78,26,38,1.46,BR,1622566621
332,San Cristobal,7.7669,-72.225,299.25,89,99,2.35,VE,1622566621
333,Bandarbeyla,9.4942,50.8122,300.14,78,91,11.91,SO,1622566622
334,Tshikapa,-6.4167,20.8,299.13,31,75,0.3,CD,1622566622
335,Newport,51.5877,-2.9984,298.21,73,95,4.32,GB,1622566331
336,Mount Gambier,-37.8333,140.7667,283.1,66,75,4.12,AU,1622566377
337,Marawi,7.9986,124.2928,292.4,95,100,2.1,PH,1622566623
338,Katsuura,35.1333,140.3,294.32,84,54,3.41,JP,1622566623
339,Xai-Xai,-25.0519,33.6442,294.77,78,81,5.06,MZ,1622566623
340,Codigoro,44.8311,12.1142,296.53,55,3,4.19,IT,1622566624
341,Hīt,33.6416,42.8251,307.27,13,0,5.06,IQ,1622566624
342,Grindavik,63.8424,-22.4338,282.35,81,75,8.34,IS,1622566624
343,Constantine,36.365,6.6147,302.82,32,75,6.69,DZ,1622566625
344,Hillsborough,37.5741,-122.3794,301.32,73,20,2.24,US,1622566390
345,Lebu,-37.6167,-73.65,287.24,98,100,2.28,CL,1622566625
346,Stanley,-51.7,-57.85,271.31,44,100,2.2,FK,1622566625
347,Kieta,-6.2167,155.6333,299.1,89,83,2.01,PG,1622566626
348,Aswān,24.0934,32.907,313.54,9,1,6.19,EG,1622566453
349,Yabēlo,4.8833,38.0833,289.3,74,97,4.87,ET,1622566626
350,Buraidah,26.326,43.975,313.4,10,0,5.94,SA,1622566626
351,Impfondo,1.6381,18.0667,297.71,77,96,0.83,CG,1622566627
352,Melilla,35.2937,-2.9383,297.26,56,0,5.66,ES,1622566627
353,Dhidhdhoo,6.8833,73.1,301.57,74,43,7.94,MV,1622566369
354,Siyabuswa,-25.1132,29.0445,284.82,82,49,2.13,ZA,1622566452
355,Yaqui,27.3667,-110.1667,305.41,28,0,4.37,MX,1622566627
356,Pundaguitan,6.3711,126.1689,301.03,77,100,2.88,PH,1622566628
357,Barwādih,23.8333,84.1167,302.74,56,52,1.54,IN,1622566628
358,Dauriya,49.9333,116.8667,279.95,58,29,1.32,RU,1622566628
359,Fécamp,49.7579,0.3746,299.64,70,18,4.7,FR,1622566629
360,Puerto Escondido,15.85,-97.0667,304.21,61,100,2.41,MX,1622566629
361,Byron Bay,-28.65,153.6167,286.97,89,46,2.05,AU,1622566588
362,Laas,46.6166,10.7002,292.56,65,42,0.59,IT,1622566629
363,Meulaboh,4.1363,96.1285,298.94,87,100,0.78,ID,1622566630
364,Havelock,34.8791,-76.9013,300.4,60,78,1.79,US,1622566467
365,Springbok,-29.6643,17.8865,284.45,39,0,3.07,ZA,1622566630
366,Wadi Maliz,36.4681,8.5495,301.96,83,94,5.04,TN,1622566520
367,Eyl,7.9803,49.8164,300.07,74,30,9.57,SO,1622566630
368,Cayenne,4.9333,-52.3333,300.17,87,75,0.83,GF,1622566557
369,Muş Province,39.0,41.75,288.45,42,0,4.25,TR,1622566631
370,Gold Coast,-28.0,153.4333,287.59,94,59,2.17,AU,1622566631
371,Los Llanos de Aridane,28.6585,-17.9182,294.01,84,20,1.94,ES,1622566631
372,Bereda,43.2686,-7.5406,295.05,61,25,3.63,ES,1622566632
373,Coquimbo,-29.9533,-71.3436,291.0,67,0,3.38,CL,1622566540
374,Coyhaique,-45.5752,-72.0662,282.12,57,40,2.06,CL,1622566632
375,Bilibino,68.0546,166.4372,285.16,50,10,0.27,RU,1622566632
376,Khani,41.9563,42.9566,288.91,95,52,0.08,GE,1622566633
377,Grand Gaube,-20.0064,57.6608,294.37,75,92,7.87,MU,1622566633
378,Buchanan,5.8808,-10.0467,301.14,75,89,3.38,LR,1622566633
379,Baruun-Urt,46.6806,113.2792,279.18,48,75,3.53,MN,1622566634
380,Itarema,-2.9248,-39.9167,301.21,74,25,5.67,BR,1622566634
381,Rūdbār,30.15,62.6,308.91,7,0,2.75,AF,1622566634
382,Ostrovnoy,68.0531,39.5131,278.85,79,98,5.76,RU,1622566635
383,Eureka,40.8021,-124.1637,292.7,79,70,2.24,US,1622566356
384,Murgab,37.4966,61.9714,309.08,24,0,4.29,TM,1622566635
385,Tezu,27.9167,96.1667,296.24,94,80,0.83,IN,1622566635
386,Bahía Solano,6.2262,-77.4044,299.32,85,100,1.61,CO,1622566636
387,Kaeo,-35.1,173.7833,281.11,95,8,1.61,NZ,1622566636
388,Novoukrainskiy,44.8969,38.0522,291.25,87,82,2.71,RU,1622566636
389,Dickinson,29.4608,-95.0513,302.05,75,40,1.79,US,1622566637
390,Kuril'sk,45.2333,147.8833,275.82,94,84,1.92,RU,1622566637
391,Leningradskiy,69.3833,178.4167,270.56,90,70,5.92,RU,1622566637
392,Mocuba,-16.8392,36.9856,293.75,85,55,1.87,MZ,1622566638
393,Mosal'sk,54.4881,34.9817,285.47,68,45,2.8,RU,1622566638
394,Ibrā’,22.6906,58.5334,309.18,12,1,2.8,OM,1622566638
395,Gizo Government Station,-8.103,156.8419,300.35,84,92,5.5,SB,1622566639
396,College,64.8569,-147.8028,286.33,88,90,0.0,US,1622566639
397,Marsá Maţrūḩ,31.3525,27.2453,296.26,73,0,5.14,EG,1622566639
398,Qaqortoq,60.7167,-46.0333,279.9,60,36,3.75,GL,1622566640
399,Porto-Novo,6.4965,2.6036,302.47,67,89,4.12,BJ,1622566640
400,Lagoa,39.05,-27.9833,288.32,58,57,6.72,PT,1622566640
401,Sioux Lookout,50.1001,-91.917,294.19,37,75,4.12,CA,1622566640
402,Walvis Bay,-22.9575,14.5053,295.68,43,0,6.58,NA,1622566641
403,Socotá,6.0403,-72.6351,285.62,90,100,1.68,CO,1622566641
404,Isangel,-19.55,169.2667,294.3,63,35,4.57,VU,1622566641
405,Yarensk,62.1675,49.0916,281.16,51,47,1.84,RU,1622566642
406,Fortuna,40.5982,-124.1573,288.7,76,56,2.5,US,1622566642
407,Kholm,59.2667,32.85,286.98,60,95,3.77,RU,1622566642
408,Chara,56.9064,118.2631,284.34,69,97,2.58,RU,1622566642
409,Konstantinovka,49.6167,127.9833,283.71,94,75,4.89,RU,1622566643
410,Madison Heights,42.4859,-83.1052,297.95,42,40,2.06,US,1622566643
411,Kawalu,-7.3817,108.2082,296.55,98,88,0.56,ID,1622566643
412,Rakai,-0.72,31.4839,291.0,92,100,2.64,UG,1622566644
413,Sobolevo,54.4299,31.8996,286.16,72,9,2.53,RU,1622566644
414,Mawlaik,23.6333,94.4167,299.23,86,69,0.63,MM,1622566644
415,Barroquinha,-3.0189,-41.1361,305.03,51,20,2.27,BR,1622566645
416,Blackwater,-23.5833,148.8833,287.94,88,10,3.42,AU,1622566645
417,Lompoc,34.6391,-120.4579,298.22,100,90,1.81,US,1622566645
418,Buala,-8.145,159.5921,300.07,85,98,3.34,SB,1622566646
419,La Paz,-16.5,-68.15,288.14,12,40,3.6,BO,1622566258
420,Sokone,13.8833,-16.3667,309.09,39,70,6.23,SN,1622566646
421,Burgeo,47.6167,-57.6152,281.76,97,100,9.49,CA,1622566646
422,Kenai,60.5544,-151.2583,283.72,93,90,1.54,US,1622566647
423,Nānākuli,21.3906,-158.1547,298.77,79,23,2.59,US,1622566647
424,Azare,11.6765,10.1948,311.52,15,77,2.74,NG,1622566647
425,Waingapu,-9.6567,120.2641,297.11,83,100,1.9,ID,1622566647
426,Totness,5.8833,-56.3167,298.45,90,84,3.75,SR,1622566648
427,Kommunisticheskiy,61.6789,64.4819,282.27,71,90,4.86,RU,1622566648
428,Russell,32.3502,-85.1999,301.01,56,65,2.75,US,1622566648
429,Praia da Vitória,38.7333,-27.0667,291.9,63,40,7.08,PT,1622566649
430,Grand Baie,-20.0182,57.5802,294.41,76,90,7.32,MU,1622566649
431,Mossamedes,-15.1961,12.1522,295.77,77,90,3.12,AO,1622566649
432,North Bend,43.4065,-124.2243,296.47,64,50,4.34,US,1622566650
433,Gigmoto,13.7796,124.39,300.6,88,100,5.64,PH,1622566650
434,Snezhnogorsk,69.1933,33.2531,285.03,79,100,6.33,RU,1622566650
435,Lakatoro,-16.0999,167.4164,296.78,77,100,5.27,VU,1622566651
436,Katherine,-14.4667,132.2667,297.33,78,91,3.03,AU,1622566651
437,Göksun,38.021,36.4973,285.69,83,71,5.01,TR,1622566651
438,Mildura,-34.2,142.15,281.13,71,7,2.06,AU,1622566652
439,Araouane,18.9048,-3.5265,316.35,5,27,2.71,ML,1622566652
440,Yambio,4.5721,28.3955,298.66,69,80,2.1,SS,1622566652
441,Oussouye,12.485,-16.5469,308.25,61,76,4.97,SN,1622566652
442,Sur,22.5667,59.5289,307.99,36,0,3.42,OM,1622566653
443,Rovaniemi,66.5,25.7167,291.82,39,0,2.57,FI,1622566653
444,Semnan,35.5729,53.3971,305.16,14,0,2.08,IR,1622566653
445,Moranbah,-22.0016,148.0466,288.09,94,10,3.95,AU,1622566654
446,Pathein,16.7833,94.7333,301.23,81,6,2.13,MM,1622566654
447,High Rock,26.6208,-78.2833,302.16,71,89,6.38,BS,1622566654
448,Saraza,8.7356,117.78,299.6,87,100,1.72,PH,1622566654
449,Santa Maria,-29.6842,-53.8069,293.76,52,0,1.7,BR,1622566655
450,Dalianwan,39.0286,121.695,287.17,94,75,3.51,CN,1622566655
451,Aksu,41.1231,80.2644,299.46,28,100,2.49,CN,1622566655
452,Aras,42.5617,-2.356,291.04,72,75,1.13,ES,1622566656
453,Merauke,-8.4667,140.3333,297.42,88,100,5.71,ID,1622566656
454,Lufilufi,-13.8745,-171.5986,297.03,64,72,6.93,WS,1622566656
455,Ailigandí,9.2333,-78.0167,301.81,74,100,3.54,PA,1622566656
456,Kirksville,40.1948,-92.5833,293.25,73,99,0.89,US,1622566657
457,Nishihara,26.1842,127.7558,297.75,97,90,5.54,JP,1622566657
458,Hambantota,6.1241,81.1185,300.17,80,77,7.85,LK,1622566657
459,Kailua,21.4022,-157.7394,298.79,69,25,4.45,US,1622566658
460,Antofagasta,-23.65,-70.4,294.38,56,1,2.88,CL,1622566658
461,Baie-Comeau,49.2168,-68.1489,290.15,72,1,7.08,CA,1622566658
462,Sibolga,1.7427,98.7792,298.74,84,92,1.65,ID,1622566659
463,Port Lincoln,-34.7333,135.8667,288.72,74,92,1.3,AU,1622566659
464,Morón,-34.6534,-58.6198,291.01,64,90,0.45,AR,1622566533
465,Province of Mantua,45.1667,10.7833,298.73,44,2,2.24,IT,1622566659
466,Bāsār,27.9833,94.6667,293.71,99,95,0.65,IN,1622566659
467,Nioki,-2.7167,17.6833,300.61,43,95,1.23,CD,1622566660
468,Pucallpa,-8.3791,-74.5539,300.17,74,75,2.57,PE,1622566660
469,Mahajanga,-15.7167,46.3167,298.16,88,20,2.06,MG,1622566660
470,Lanzhou,36.0564,103.7922,291.75,22,100,2.77,CN,1622566661
471,Berdigestyakh,62.0989,126.6992,279.98,91,15,2.15,RU,1622566661
472,Luocheng,29.3848,104.0286,294.21,82,97,0.64,CN,1622566661
473,Dublin,37.7021,-121.9358,301.94,51,1,2.68,US,1622566260
474,Eugene,44.0521,-123.0867,298.46,57,26,0.45,US,1622566662
475,San Carlos,9.6612,-68.5827,303.58,56,100,2.61,VE,1622566621
476,Youghal,51.95,-7.8506,292.97,81,21,3.98,IE,1622566662
477,Muros,42.7762,-9.0603,292.68,80,83,3.81,ES,1622566662
478,Molde,62.7375,7.1591,294.21,63,0,2.57,NO,1622566663
479,Saint-François,46.4154,3.9054,299.84,41,0,4.63,FR,1622566663
480,Broome,42.2506,-75.833,296.27,48,100,0.89,US,1622566663
481,Zhangye,38.9342,100.4517,291.65,15,59,2.49,CN,1622566663
482,Spasskoye,44.6108,132.7969,284.56,90,53,5.83,RU,1622566664
483,Selma,36.5708,-119.6121,310.43,44,16,0.85,US,1622566664
484,Bathsheba,13.2167,-59.5167,303.49,51,40,6.72,BB,1622566664
485,Bud,39.447,-86.1758,296.16,61,100,1.27,US,1622566665
486,Şebinkarahisar,40.2883,38.4236,286.75,80,90,2.12,TR,1622566665
487,Nyurba,63.2842,118.3319,285.29,82,93,1.27,RU,1622566665
488,Olenegorsk,68.15,33.3,281.24,90,100,1.68,RU,1622566665
489,Felipe Carrillo Puerto,19.5833,-88.05,307.2,39,46,2.93,MX,1622566666
490,Ossora,59.2353,163.0719,276.81,74,100,1.66,RU,1622566666
491,Kosonsoy,41.2561,71.5508,298.46,47,68,2.6,UZ,1622566666
492,Wajid,3.8093,43.2471,300.14,56,99,6.95,SO,1622566667
493,San Rafael,-34.6177,-68.3301,294.03,36,100,3.27,AR,1622566667
494,Sadsalan,6.8231,124.6222,296.13,97,97,0.34,PH,1622566667
495,Chingola,-12.529,27.8838,290.16,52,65,0.53,ZM,1622566667
496,Bell Ville,-32.6259,-62.6887,292.96,36,73,5.4,AR,1622566668
497,Broken Hill,-31.95,141.4333,285.99,71,90,6.69,AU,1622566668
498,Katobu,-4.9408,122.5276,296.77,92,43,1.92,ID,1622566668
499,Kumul,42.8,93.45,298.43,10,35,7.47,CN,1622566662
500,Finschhafen,-6.6024,147.8681,298.37,86,100,4.66,PG,1622566669
501,Saint Anthony,45.0205,-93.218,298.57,39,56,0.45,US,1622566669
502,Okato,-39.2,173.8833,279.64,83,14,0.73,NZ,1622566669
503,Dodge City,37.7528,-100.0171,291.07,82,90,0.45,US,1622566670
504,Gimli,50.6336,-96.9907,298.27,48,93,3.6,CA,1622566670
505,Aden,12.7794,45.0367,305.04,61,24,3.69,YE,1622566565
506,Agnibilékrou,7.1344,-3.2047,305.33,50,96,1.56,CI,1622566670
507,Hervey Bay,-25.2986,152.8535,290.39,86,60,1.79,AU,1622566671
508,Qui Nhon,13.7667,109.2333,300.97,84,100,1.81,VN,1622566466
509,Charters Towers,-20.1,146.2667,288.61,94,69,3.54,AU,1622566671
510,Kifrī,34.6959,44.9661,308.61,11,0,4.56,IQ,1622566671
511,Guisa,20.255,-76.5386,300.72,76,34,2.52,CU,1622566672
512,Alice Springs,-23.7,133.8833,290.9,29,75,0.99,AU,1622566661
513,Bundibugyo,0.7414,30.0417,297.06,65,100,1.36,UG,1622566672
514,Saint-Joseph,-21.3667,55.6167,296.36,78,42,5.18,RE,1622566672
515,Benghazi,32.1167,20.0667,295.66,66,41,5.86,LY,1622566673
516,Port-Cartier,50.0334,-66.8654,287.27,53,80,4.34,CA,1622566673
517,Daru,-9.0763,143.2092,298.42,81,99,6.92,PG,1622566673
518,Dobrinka,52.1653,40.4731,285.83,77,100,4.35,RU,1622566674
519,Marakkanam,12.2,79.95,303.98,69,37,7.36,IN,1622566674
520,Karachev,53.1229,34.9852,288.09,79,82,2.94,RU,1622566674
521,Khandyga,62.6667,135.6,280.76,70,43,1.05,RU,1622566675
522,Traverse City,44.7631,-85.6206,295.56,54,7,1.63,US,1622566675
523,Pisco,-13.7,-76.2167,293.18,73,75,3.6,PE,1622566473
524,Santa Rosa de Aguán,15.95,-85.7167,305.16,71,38,8.12,HN,1622566675
525,Cedar City,37.6775,-113.0619,299.48,8,62,3.13,US,1622566675
526,Monzón,41.9108,0.1941,296.01,74,100,5.83,ES,1622566676
527,Jacqueville,5.2052,-4.4146,302.1,76,74,4.53,CI,1622566676
528,Dori,14.0354,-0.0345,314.92,12,54,1.73,BF,1622566676
529,Guarapari,-20.6667,-40.4975,299.76,79,96,3.04,BR,1622566677
530,Koumac,-20.5667,164.2833,292.33,71,8,1.74,NC,1622566677
531,Panan,15.2134,120.0272,300.97,75,93,2.01,PH,1622566677
532,Prabumulih,-3.45,104.25,296.72,98,35,1.42,ID,1622566678
533,Eenhana,-17.4667,16.3333,299.01,19,39,1.77,NA,1622566678
534,Winslow,35.0242,-110.6974,301.46,18,5,1.75,US,1622566678
535,Freeport,40.6576,-73.5832,299.42,54,100,1.79,US,1622566638
536,Nemuro,43.3236,145.575,279.47,88,79,3.79,JP,1622566679
537,Martin,27.0837,-80.4164,304.25,68,36,6.08,US,1622566679
538,Igboho,8.8333,3.75,303.01,58,84,4.65,NG,1622566679
539,Poum,-20.2333,164.0167,295.52,58,98,4.16,NC,1622566679
